Time Series Search Export,Search term,Search filters,,Last update of Locational banking statistics data,Downloaded at,Source,Source URL,Download URL,About Locational banking statistics
,,FREQ:Frequency,Q:Quarterly,2025-12-08,2026-01-22 16:21 CET,BIS,https://data.bis.org/topics/LBS/data?data_view=table&filter=FREQ%3DQ%255EL_MEASURE%3DS%255EL_CURR_TYPE%3DA%255EL_REP_BANK_TYPE%3DA%255EL_POS_TYPE%3DN%255EL_PARENT_CTY_TXT%3DSouth%2520Africa%257CAfrica%257CBermuda%257CBrazil%257CCanada%257CCayman%2520Islands%257CChile%257CMexico%257CPanama%257CThe%2520Bahamas%257CUnited%2520States%257CAmericas%257CBahrain%257CChina%257CChinese%2520Taipei%257CCyprus%257CHong%2520Kong%2520SAR%257CIndia%257CIndonesia%257CJapan%257CKorea%257CMacao%2520SAR%257CMalaysia%257CSingapore%257CT%25C3%25BCrkiye%257CAsia%257CAll%2520countries%2520%28total%29%257CConsortium%2520banks%257CNon-reporting%2520developed%2520countries%257CNon-reporting%2520developing%2520Africa%2520and%2520Middle%2520East%257CNon-reporting%2520developing%2520Asia%2520and%2520Pacific%257CNon-reporting%2520developing%2520Europe%257CNon-reporting%2520developing%2520Latin%2520America%2520and%2520Caribbean%257CUnallocated%2520location%257CBIS%27%2520aggregates%2520%2F%2520Other%257CAustria%257CBelgium%257CDenmark%257CFinland%257CFrance%257CGermany%257CGreece%257CGuernsey%257CIreland%257CIsle%2520of%2520Man%257CItaly%257CJersey%257CLuxembourg%257CNetherlands%257CNorway%257CPortugal%257CSpain%257CSweden%257CSwitzerland%257CUnited%2520Kingdom%257CEurope%257CAustralia%257COceania%255ETIMESPAN%3D2007-06-28_2008-12-31%255EL_CP_SECTOR%3DA%255EL_REP_CTY_TXT%3DAustralia%257CBelgium%257CBrazil%257CCanada%257CChina%257CFrance%257CGermany%257CIndia%257CIndonesia%257CIreland%257CItaly%257CJapan%257CKorea%257CLuxembourg%257CMexico%257CNetherlands%257CRussia%257CSaudi%2520Arabia%257CSouth%2520Africa%257CSweden%257CSwitzerland%257CT%25C3%25BCrkiye%257CUnited%2520Kingdom%257CUnited%2520States%257CSpain%255EL_CP_COUNTRY_TXT%3DArgentina%257CAustralia%257CBelgium%257CBrazil%257CCanada%257CChina%257CFrance%257CGermany%257CIndia%257CIndonesia%257CIreland%257CItaly%257CJapan%257CKorea%257CLuxembourg%257CMexico%257CNetherlands%257CRussia%257CSaudi%2520Arabia%257CSouth%2520Africa%257CSweden%257CSwitzerland%257CT%25C3%25BCrkiye%257CUnited%2520Kingdom%257CUnited%2520States%257CSpain,https://data.bis.org/topics/LBS/data?data_view=table&filter=FREQ%3DQ%255EL_MEASURE%3DS%255EL_CURR_TYPE%3DA%255EL_REP_BANK_TYPE%3DA%255EL_POS_TYPE%3DN%255EL_PARENT_CTY_TXT%3DSouth%2520Africa%257CAfrica%257CBermuda%257CBrazil%257CCanada%257CCayman%2520Islands%257CChile%257CMexico%257CPanama%257CThe%2520Bahamas%257CUnited%2520States%257CAmericas%257CBahrain%257CChina%257CChinese%2520Taipei%257CCyprus%257CHong%2520Kong%2520SAR%257CIndia%257CIndonesia%257CJapan%257CKorea%257CMacao%2520SAR%257CMalaysia%257CSingapore%257CT%25C3%25BCrkiye%257CAsia%257CAll%2520countries%2520%28total%29%257CConsortium%2520banks%257CNon-reporting%2520developed%2520countries%257CNon-reporting%2520developing%2520Africa%2520and%2520Middle%2520East%257CNon-reporting%2520developing%2520Asia%2520and%2520Pacific%257CNon-reporting%2520developing%2520Europe%257CNon-reporting%2520developing%2520Latin%2520America%2520and%2520Caribbean%257CUnallocated%2520location%257CBIS%27%2520aggregates%2520%2F%2520Other%257CAustria%257CBelgium%257CDenmark%257CFinland%257CFrance%257CGermany%257CGreece%257CGuernsey%257CIreland%257CIsle%2520of%2520Man%257CItaly%257CJersey%257CLuxembourg%257CNetherlands%257CNorway%257CPortugal%257CSpain%257CSweden%257CSwitzerland%257CUnited%2520Kingdom%257CEurope%257CAustralia%257COceania%255ETIMESPAN%3D2007-06-28_2008-12-31%255EL_CP_SECTOR%3DA%255EL_REP_CTY_TXT%3DAustralia%257CBelgium%257CBrazil%257CCanada%257CChina%257CFrance%257CGermany%257CIndia%257CIndonesia%257CIreland%257CItaly%257CJapan%257CKorea%257CLuxembourg%257CMexico%257CNetherlands%257CRussia%257CSaudi%2520Arabia%257CSouth%2520Africa%257CSweden%257CSwitzerland%257CT%25C3%25BCrkiye%257CUnited%2520Kingdom%257CUnited%2520States%257CSpain%255EL_CP_COUNTRY_TXT%3DArgentina%257CAustralia%257CBelgium%257CBrazil%257CCanada%257CChina%257CFrance%257CGermany%257CIndia%257CIndonesia%257CIreland%257CItaly%257CJapan%257CKorea%257CLuxembourg%257CMexico%257CNetherlands%257CRussia%257CSaudi%2520Arabia%257CSouth%2520Africa%257CSweden%257CSwitzerland%257CT%25C3%25BCrkiye%257CUnited%2520Kingdom%257CUnited%2520States%257CSpain&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/LBS
,,L_CP_COUNTRY_TXT:Counterparty country,"AR:Argentina,AU:Australia,BE:Belgium,BR:Brazil,CA:Canada,CN:China,FR:France,DE:Germany,IN:India,ID:Indonesia,IE:Ireland,IT:Italy,JP:Japan,KR:Korea,LU:Luxembourg,MX:Mexico,NL:Netherlands,RU:Russia,SA:Saudi Arabia,ZA:South Africa,SE:Sweden,CH:Switzerland,TR:Türkiye,GB:United Kingdom,US:United States,ES:Spain",,,,,,
,,L_CP_SECTOR:Counterparty sector,A:All sectors,,,,,,
,,L_CURR_TYPE:Currency type of reporting country,A:All currencies (=D+F+U),,,,,,
,,L_MEASURE:Measure,S:Amounts outstanding / Stocks,,,,,,
,,L_PARENT_CTY_TXT:Parent country,"ZA,BM,BR,CA,KY,CL,MX,PA,BS,US,BH,CN,TW,CY,HK,IN,ID,JP,KR,MO,MY,SG,TR,5J,1G,5N,3W,3X,3Y,3Z,5M,AT,BE,DK,FI,FR,DE,GR,GG,IE,IM,IT,JE,LU,NL,NO,PT,ES,SE,CH,GB,AU",,,,,,
,,L_POS_TYPE:Position type,N:Cross-border,,,,,,
,,L_REP_BANK_TYPE:Type of reporting institutions,"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",,,,,,
,,L_REP_CTY_TXT:Reporting country,"AU:Australia,BE:Belgium,BR:Brazil,CA:Canada,CN:China,FR:France,DE:Germany,IN:India,ID:Indonesia,IE:Ireland,IT:Italy,JP:Japan,KR:Korea,LU:Luxembourg,MX:Mexico,NL:Netherlands,RU:Russia,SA:Saudi Arabia,ZA:South Africa,SE:Sweden,CH:Switzerland,TR:Türkiye,GB:United Kingdom,US:United States,ES:Spain",,,,,,
,,TIMESPAN:Timespan,2007-06-28_2008-12-31:,,,,,,
,,TOPIC:Topic,LBS:International banking / Locational banking statistics,,,,,,

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,L_MEASURE:Measure,L_POSITION:Balance sheet position,L_INSTR:Type of instruments,L_DENOM:Currency denomination,L_CURR_TYPE:Currency type of reporting country,L_PARENT_CTY:Parent country,L_REP_BANK_TYPE:Type of reporting institutions,L_REP_CTY:Reporting country,L_CP_SECTOR:Counterparty sector,L_CP_COUNTRY:Counterparty country,L_POS_TYPE:Position type,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.LU.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,LU:Luxembourg,N:Cross-border,US dollar,Millions,2007-09-30,F:Free,,A:Normal value,5.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.LU.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,LU:Luxembourg,N:Cross-border,US dollar,Millions,2007-12-31,F:Free,,A:Normal value,1.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.LU.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,LU:Luxembourg,N:Cross-border,US dollar,Millions,2008-03-31,F:Free,,A:Normal value,23.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.LU.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,LU:Luxembourg,N:Cross-border,US dollar,Millions,2008-06-30,F:Free,,A:Normal value,738.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.LU.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,LU:Luxembourg,N:Cross-border,US dollar,Millions,2008-09-30,F:Free,,A:Normal value,689.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.NL.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,NL:Netherlands,N:Cross-border,US dollar,Millions,2007-09-30,F:Free,,A:Normal value,1.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.NL.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,NL:Netherlands,N:Cross-border,US dollar,Millions,2008-03-31,F:Free,,A:Normal value,6.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.NL.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,NL:Netherlands,N:Cross-border,US dollar,Millions,2008-06-30,F:Free,,A:Normal value,264.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.NL.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,NL:Netherlands,N:Cross-border,US dollar,Millions,2008-09-30,F:Free,,A:Normal value,256.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.NL.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,NL:Netherlands,N:Cross-border,US dollar,Millions,2008-12-31,F:Free,,A:Normal value,548.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.SE.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,SE:Sweden,N:Cross-border,US dollar,Millions,2008-06-30,F:Free,,A:Normal value,2.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.US.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,US:United States,N:Cross-border,US dollar,Millions,2007-09-30,F:Free,,A:Normal value,11177.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.US.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,US:United States,N:Cross-border,US dollar,Millions,2007-12-31,F:Free,,A:Normal value,10084.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.US.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,US:United States,N:Cross-border,US dollar,Millions,2008-03-31,F:Free,,A:Normal value,11894.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.US.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,US:United States,N:Cross-border,US dollar,Millions,2008-06-30,F:Free,,A:Normal value,7825.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.US.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,US:United States,N:Cross-border,US dollar,Millions,2008-09-30,F:Free,,A:Normal value,10339.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.US.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,US:United States,N:Cross-border,US dollar,Millions,2008-12-31,F:Free,,A:Normal value,12185.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.MX.A.ZA.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MX:Mexico,A:All sectors,ZA:South Africa,N:Cross-border,US dollar,Millions,2008-12-31,F:Free,,A:Normal value,1.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.AR.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,AR:Argentina,N:Cross-border,US dollar,Millions,2007-09-30,F:Free,,A:Normal value,594.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.AR.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,AR:Argentina,N:Cross-border,US dollar,Millions,2007-12-31,F:Free,,A:Normal value,462.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.AR.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,AR:Argentina,N:Cross-border,US dollar,Millions,2008-03-31,F:Free,,A:Normal value,669.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.AR.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,AR:Argentina,N:Cross-border,US dollar,Millions,2008-06-30,F:Free,,A:Normal value,714.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.AR.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,AR:Argentina,N:Cross-border,US dollar,Millions,2008-09-30,F:Free,,A:Normal value,768.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.AR.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,AR:Argentina,N:Cross-border,US dollar,Millions,2008-12-31,F:Free,,A:Normal value,748.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.AU.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,AU:Australia,N:Cross-border,US dollar,Millions,2007-09-30,F:Free,,A:Normal value,2632.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.AU.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,AU:Australia,N:Cross-border,US dollar,Millions,2007-12-31,F:Free,3598.0,B:Break,3601.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.AU.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,AU:Australia,N:Cross-border,US dollar,Millions,2008-03-31,F:Free,,A:Normal value,2683.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.AU.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,AU:Australia,N:Cross-border,US dollar,Millions,2008-06-30,F:Free,,A:Normal value,2971.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.AU.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,AU:Australia,N:Cross-border,US dollar,Millions,2008-09-30,F:Free,,A:Normal value,8224.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.AU.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,AU:Australia,N:Cross-border,US dollar,Millions,2008-12-31,F:Free,,A:Normal value,8182.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.BE.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,BE:Belgium,N:Cross-border,US dollar,Millions,2007-09-30,F:Free,,A:Normal value,104061.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.BE.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,BE:Belgium,N:Cross-border,US dollar,Millions,2007-12-31,F:Free,110924.0,B:Break,111057.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.BE.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,BE:Belgium,N:Cross-border,US dollar,Millions,2008-03-31,F:Free,,A:Normal value,111234.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.BE.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,BE:Belgium,N:Cross-border,US dollar,Millions,2008-06-30,F:Free,,A:Normal value,122970.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.BE.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,BE:Belgium,N:Cross-border,US dollar,Millions,2008-09-30,F:Free,,A:Normal value,119561.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.BE.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,BE:Belgium,N:Cross-border,US dollar,Millions,2008-12-31,F:Free,,A:Normal value,52781.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.BR.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,BR:Brazil,N:Cross-border,US dollar,Millions,2007-09-30,F:Free,,A:Normal value,6362.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.BR.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,BR:Brazil,N:Cross-border,US dollar,Millions,2007-12-31,F:Free,,A:Normal value,6716.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.BR.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,BR:Brazil,N:Cross-border,US dollar,Millions,2008-03-31,F:Free,,A:Normal value,8648.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.BR.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,BR:Brazil,N:Cross-border,US dollar,Millions,2008-06-30,F:Free,,A:Normal value,9209.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.BR.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,BR:Brazil,N:Cross-border,US dollar,Millions,2008-09-30,F:Free,,A:Normal value,2979.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.BR.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,BR:Brazil,N:Cross-border,US dollar,Millions,2008-12-31,F:Free,,A:Normal value,1332.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.CA.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,CA:Canada,N:Cross-border,US dollar,Millions,2007-09-30,F:Free,,A:Normal value,888.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.CA.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,CA:Canada,N:Cross-border,US dollar,Millions,2007-12-31,F:Free,,A:Normal value,1027.0
"BIS,WS_LBS_D_PUB,1.0",Q.S.C.G.TO1.A.5J.A.NL.A.CA.N,Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,G:Loans and deposits,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",NL:Netherlands,A:All sectors,CA:Canada,N:Cross-border,US dollar,Millions,2008-03-31,F:Free,,A:Normal value,1099.0
